Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Dimorphic hemmorhoids(piles),Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Heart attack,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Varicose veins,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Hypothyroidism,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Hyperthyroidism,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Hypoglycemia,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Osteoarthristis,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Arthritis,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
(vertigo) Paroymsal  Positional Vertigo,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Acne,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Urinary tract infection,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Psoriasis,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Impetigo,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Fungal infection,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Allergy,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
GERD,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Chronic cholestasis,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Drug Reaction,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Peptic ulcer diseae,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
AIDS,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Diabetes ,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Gastroenteritis,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Bronchial Asthma,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Hypertension ,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Migraine,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Cervical spondylosis,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Paralysis (brain hemorrhage),Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Jaundice,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Malaria,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Chicken pox,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Dengue,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Typhoid,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
hepatitis A,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Hepatitis B,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Hepatitis C,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Hepatitis D,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Hepatitis E,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Alcoholic hepatitis,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Tuberculosis,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Common Cold,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Pneumonia,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Dimorphic hemmorhoids(piles),Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Heart attack,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Varicose veins,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Hypothyroidism,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Hyperthyroidism,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Hypoglycemia,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Osteoarthristis,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Arthritis,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
(vertigo) Paroymsal  Positional Vertigo,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Acne,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Urinary tract infection,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Psoriasis,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Impetigo,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Fungal infection,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Allergy,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
GERD,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Chronic cholestasis,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Drug Reaction,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Peptic ulcer diseae,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
AIDS,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Diabetes ,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Gastroenteritis,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Bronchial Asthma,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Hypertension ,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Migraine,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Cervical spondylosis,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Paralysis (brain hemorrhage),Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Jaundice,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Malaria,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Chicken pox,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Dengue,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Typhoid,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
hepatitis A,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Hepatitis B,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Hepatitis C,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Hepatitis D,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Hepatitis E,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Alcoholic hepatitis,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Tuberculosis,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Common Cold,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Pneumonia,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Dimorphic hemmorhoids(piles),Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Heart attack,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Varicose veins,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Hypothyroidism,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Hyperthyroidism,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
